country,mot_cle,score
Suisse,artificial intelligence,5
Suriname,artificial intelligence,5
Suède,artificial intelligence,3
Svalbard et Jan Mayen,artificial intelligence,0
Syrie,artificial intelligence,2
Sénégal,artificial intelligence,3
Tadjikistan,artificial intelligence,2
Tanzanie,artificial intelligence,10
Taïwan,artificial intelligence,4
Tchad,artificial intelligence,3
Tchéquie,artificial intelligence,4
Terres australes françaises,artificial intelligence,0
Territoire britannique de l’océan Indien,artificial intelligence,0
Thaïlande,artificial intelligence,3
Timor oriental,artificial intelligence,6
Togo,artificial intelligence,5
Tokelau,artificial intelligence,0
Tonga,artificial intelligence,17
Trinité-et-Tobago,artificial intelligence,9
Tunisie,artificial intelligence,6
Turkménistan,artificial intelligence,1
Turquie,artificial intelligence,3
Tuvalu,artificial intelligence,0
Ukraine,artificial intelligence,2
Uruguay,artificial intelligence,2
Vanuatu,artificial intelligence,0
Venezuela,artificial intelligence,1
Viêt Nam,artificial intelligence,5
Wallis-et-Futuna,artificial intelligence,0
Yémen,artificial intelligence,6
Zambie,artificial intelligence,8
Zimbabwe,artificial intelligence,20
Égypte,artificial intelligence,6
Émirats arabes unis,artificial intelligence,11
Équateur,artificial intelligence,3
Érythrée,artificial intelligence,100
État de la Cité du Vatican,artificial intelligence,0
États-Unis,artificial intelligence,10
Éthiopie,artificial intelligence,23
Île Bouvet,artificial intelligence,0
Île Christmas,artificial intelligence,0
Île Norfolk,artificial intelligence,0
Île de Man,artificial intelligence,5
Îles Caïmans,artificial intelligence,6
Îles Cocos,artificial intelligence,0
Îles Cook,artificial intelligence,26
Îles Féroé,artificial intelligence,0
Îles Heard-et-MacDonald,artificial intelligence,0
Îles Malouines (Îles Falkland),artificial intelligence,0
Îles Mariannes du Nord,artificial intelligence,0
Îles Marshall,artificial intelligence,0
Îles Pitcairn,artificial intelligence,0
Îles Salomon,artificial intelligence,15
Îles Turques-et-Caïques,artificial intelligence,0
Îles Vierges britanniques,artificial intelligence,0
Îles Vierges des États-Unis,artificial intelligence,6
Îles mineures éloignées des États-Unis,artificial intelligence,0
Îles Åland,artificial intelligence,0
Afghanistan,crypto,23
Afrique du Sud,crypto,22
Albanie,crypto,39
Algérie,crypto,11
Allemagne,crypto,20
Andorre,crypto,43
Angola,crypto,8
Anguilla,crypto,0
Antarctique,crypto,0
Antigua-et-Barbuda,crypto,28
Arabie saoudite,crypto,11
Argentine,crypto,10
Arménie,crypto,23
Aruba,crypto,34
Australie,crypto,40
Autriche,crypto,19
Azerbaïdjan,crypto,14
Bahamas,crypto,36
Bahreïn,crypto,27
Bangladesh,crypto,19
Barbade,crypto,28
Belgique,crypto,42
Belize,crypto,15
Bermudes,crypto,54
Bhoutan,crypto,32
Biélorussie,crypto,6
Bolivie,crypto,8
Bosnie-Herzégovine,crypto,17
Botswana,crypto,20
Brunei,crypto,14
Brésil,crypto,7
Bulgarie,crypto,26
Burkina Faso,crypto,38
Burundi,crypto,29
Bénin,crypto,47
Cambodge,crypto,55
Cameroun,crypto,24
Canada,crypto,36
Cap-Vert,crypto,18
Chili,crypto,6
Chine,crypto,28
Chypre,crypto,48
Colombie,crypto,6
Comores,crypto,0
Congo-Brazzaville,crypto,22
Congo-Kinshasa,crypto,8
Corée du Nord,crypto,0
Corée du Sud,crypto,20
Costa Rica,crypto,10
Croatie,crypto,26
Cuba,crypto,5
Curaçao,crypto,38
Côte d’Ivoire,crypto,19
Danemark,crypto,18
Djibouti,crypto,27
Dominique,crypto,29
Espagne,crypto,16
Estonie,crypto,33
Eswatini,crypto,23
Fidji,crypto,13
Finlande,crypto,23
France,crypto,28
Gabon,crypto,18
Gambie,crypto,16
Ghana,crypto,30
Gibraltar,crypto,83
Grenade,crypto,20
Groenland,crypto,21
Grèce,crypto,20
Guadeloupe,crypto,31
Guam,crypto,29
Guatemala,crypto,4
Guernesey,crypto,46
Guinée,crypto,13
Guinée équatoriale,crypto,13
Guinée-Bissau,crypto,5
Guyana,crypto,15
Guyane française,crypto,30
Géorgie,crypto,26
Géorgie du Sud-et-les Îles Sandwich du Sud,crypto,0
Haïti,crypto,11
Honduras,crypto,5
Hong Kong,crypto,26
Hongrie,crypto,16
Inde,crypto,18
Indonésie,crypto,23
Irak,crypto,14
Iran,crypto,6
Irlande,crypto,31
Islande,crypto,27
Israël,crypto,20
Italie,crypto,16
Jamaïque,crypto,22
Japon,crypto,4
Jersey,crypto,57
Jordanie,crypto,14
Kazakhstan,crypto,7
Kenya,crypto,32
Kirghizstan,crypto,8
Kiribati,crypto,0
Kosovo,crypto,56
Koweït,crypto,16
La Réunion,crypto,21
Laos,crypto,33
Lesotho,crypto,18
Lettonie,crypto,37
Liban,crypto,27
Liberia,crypto,13
Libye,crypto,9
Liechtenstein,crypto,40
Lituanie,crypto,35
Luxembourg,crypto,41
Macao,crypto,11
Macédoine du Nord,crypto,43
Madagascar,crypto,39
Malaisie,crypto,21
Malawi,crypto,15
Maldives,crypto,42
Mali,crypto,8
Malte,crypto,54
Maroc,crypto,21
Martinique,crypto,24
Maurice,crypto,28
Mauritanie,crypto,12
Mayotte,crypto,15
Mexique,crypto,6
Micronésie,crypto,23
Moldavie,crypto,21
