country,mot_cle,score,country_clean
Kirghizstan,artificial intelligence,2,kirghizstan
Kiribati,artificial intelligence,0,kiribati
Kosovo,artificial intelligence,9,kosovo
Koweït,artificial intelligence,5,koweit
La Réunion,artificial intelligence,1,la reunion
Laos,artificial intelligence,5,laos
Lesotho,artificial intelligence,17,lesotho
Lettonie,artificial intelligence,5,lettonie
Liban,artificial intelligence,9,liban
Liberia,artificial intelligence,10,liberia
Libye,artificial intelligence,5,libye
Liechtenstein,artificial intelligence,6,liechtenstein
Lituanie,artificial intelligence,6,lituanie
Luxembourg,artificial intelligence,7,luxembourg
Macao,artificial intelligence,6,macao
Macédoine du Nord,artificial intelligence,6,macedoine du nord
Madagascar,artificial intelligence,4,madagascar
Malaisie,artificial intelligence,8,malaysia
Malawi,artificial intelligence,13,malawi
Maldives,artificial intelligence,7,maldives
Mali,artificial intelligence,1,mali
Malte,artificial intelligence,8,malte
Maroc,artificial intelligence,6,morocco
Martinique,artificial intelligence,2,martinique
Maurice,artificial intelligence,9,maurice
Mauritanie,artificial intelligence,3,mauritanie
Mayotte,artificial intelligence,0,mayotte
Mexique,artificial intelligence,2,mexico
Micronésie,artificial intelligence,0,micronesie
Moldavie,artificial intelligence,3,moldavie
Monaco,artificial intelligence,0,monaco
Mongolie,artificial intelligence,8,mongolie
Montserrat,artificial intelligence,0,montserrat
Monténégro,artificial intelligence,4,montenegro
Mozambique,artificial intelligence,2,mozambique
Myanmar (Birmanie),artificial intelligence,5,myanmar (birmanie)
Namibie,artificial intelligence,11,namibie
Nauru,artificial intelligence,0,nauru
Nicaragua,artificial intelligence,2,nicaragua
Niger,artificial intelligence,2,niger
Nigeria,artificial intelligence,14,nigeria
Niue,artificial intelligence,0,niue
Norvège,artificial intelligence,4,norway
Nouvelle-Calédonie,artificial intelligence,0,nouvelle-caledonie
Nouvelle-Zélande,artificial intelligence,4,new zealand
Népal,artificial intelligence,10,nepal
Oman,artificial intelligence,8,oman
Ouganda,artificial intelligence,9,ouganda
Ouzbékistan,artificial intelligence,6,ouzbekistan
Pakistan,artificial intelligence,14,pakistan
Palaos,artificial intelligence,0,palaos
Palestine,artificial intelligence,8,palestine
Panama,artificial intelligence,3,panama
Papouasie-Nouvelle-Guinée,artificial intelligence,25,papouasie-nouvelle-guinee
Paraguay,artificial intelligence,2,paraguay
Pays-Bas,artificial intelligence,6,netherlands
Pays-Bas caribéens,artificial intelligence,0,pays-bas caribeens
Philippines,artificial intelligence,11,philippines
Pologne,artificial intelligence,2,poland
Polynésie française,artificial intelligence,0,polynesie francaise
Porto Rico,artificial intelligence,4,porto rico
Portugal,artificial intelligence,5,portugal
Pérou,artificial intelligence,3,peru
Qatar,artificial intelligence,8,qatar
Roumanie,artificial intelligence,4,romania
Royaume-Uni,artificial intelligence,6,united kingdom
Russie,artificial intelligence,2,russia
Rwanda,artificial intelligence,18,rwanda
République centrafricaine,artificial intelligence,0,republique centrafricaine
République dominicaine,artificial intelligence,2,republique dominicaine
Sahara occidental,artificial intelligence,6,sahara occidental
Saint-Barthélemy,artificial intelligence,0,saint-barthelemy
Saint-Christophe-et-Niévès,artificial intelligence,0,saint-christophe-et-nieves
Saint-Marin,artificial intelligence,0,saint-marin
Saint-Martin,artificial intelligence,0,saint-martin
Saint-Martin (partie néerlandaise),artificial intelligence,0,saint-martin (partie neerlandaise)
Saint-Pierre-et-Miquelon,artificial intelligence,0,saint-pierre-et-miquelon
Saint-Vincent-et-les Grenadines,artificial intelligence,7,saint-vincent-et-les grenadines
Sainte-Hélène,artificial intelligence,22,sainte-helene
Sainte-Lucie,artificial intelligence,6,sainte-lucie
Salvador,artificial intelligence,2,salvador
Samoa,artificial intelligence,0,samoa
Samoa américaines,artificial intelligence,0,samoa americaines
Sao Tomé-et-Principe,artificial intelligence,0,sao tome-et-principe
Serbie,artificial intelligence,4,serbie
Seychelles,artificial intelligence,0,seychelles
Sierra Leone,artificial intelligence,11,sierra leone
Singapour,artificial intelligence,13,singapore
Slovaquie,artificial intelligence,3,slovakia
Slovénie,artificial intelligence,5,slovenia
Somalie,artificial intelligence,10,somalie
Soudan,artificial intelligence,4,soudan
Soudan du Sud,artificial intelligence,15,soudan du sud
Sri Lanka,artificial intelligence,10,sri lanka
Suisse,artificial intelligence,5,switzerland
Suriname,artificial intelligence,5,suriname
Suède,artificial intelligence,3,sweden
Svalbard et Jan Mayen,artificial intelligence,0,svalbard et jan mayen
Syrie,artificial intelligence,2,syrie
Sénégal,artificial intelligence,3,senegal
Tadjikistan,artificial intelligence,2,tadjikistan
Tanzanie,artificial intelligence,10,tanzanie
Taïwan,artificial intelligence,4,taiwan
Tchad,artificial intelligence,3,tchad
Tchéquie,artificial intelligence,4,czechia
Terres australes françaises,artificial intelligence,0,terres australes francaises
Territoire britannique de l’océan Indien,artificial intelligence,0,territoire britannique de locean indien
Thaïlande,artificial intelligence,3,thailand
Timor oriental,artificial intelligence,6,timor oriental
Togo,artificial intelligence,5,togo
Tokelau,artificial intelligence,0,tokelau
