country,mot_cle,score,country_clean,iso3,continent
République centrafricaine,Netflix,11,republique centrafricaine,,
République dominicaine,Netflix,63,republique dominicaine,,
Sahara occidental,Netflix,30,sahara occidental,,
Saint-Barthélemy,Netflix,70,saint-barthelemy,,
Saint-Christophe-et-Niévès,Netflix,64,saint-christophe-et-nieves,,
Saint-Marin,Netflix,49,saint-marin,,
Saint-Martin,Netflix,90,saint-martin,,
Saint-Martin (partie néerlandaise),Netflix,78,saint-martin (partie neerlandaise),,
Saint-Pierre-et-Miquelon,Netflix,98,saint-pierre-et-miquelon,,
Saint-Vincent-et-les Grenadines,Netflix,59,saint-vincent-et-les grenadines,,
Sainte-Hélène,Netflix,19,sainte-helene,,
Sainte-Lucie,Netflix,70,sainte-lucie,,
Salvador,Netflix,56,salvador,,
Samoa,Netflix,52,samoa,,
Samoa américaines,Netflix,99,samoa americaines,,
Sao Tomé-et-Principe,Netflix,64,sao tome-et-principe,,
Serbie,Netflix,41,serbie,,
Seychelles,Netflix,74,seychelles,,
Sierra Leone,Netflix,29,sierra leone,,
Singapour,Netflix,52,singapore,,
Slovaquie,Netflix,43,slovakia,,
Slovénie,Netflix,40,slovenia,,
Somalie,Netflix,27,somalie,,
Soudan,Netflix,5,soudan,,
Soudan du Sud,Netflix,25,soudan du sud,,
Sri Lanka,Netflix,30,sri lanka,,
Suisse,Netflix,54,switzerland,CHE,Europe
Suriname,Netflix,43,suriname,,
Suède,Netflix,48,sweden,SWE,Europe
Svalbard et Jan Mayen,Netflix,38,svalbard et jan mayen,,
Syrie,Netflix,3,syrie,,
Sénégal,Netflix,44,senegal,,
Tadjikistan,Netflix,3,tadjikistan,,
Tanzanie,Netflix,25,tanzanie,,
Taïwan,Netflix,54,taiwan,,
Tchad,Netflix,10,tchad,,
Tchéquie,Netflix,48,czechia,,
Terres australes françaises,Netflix,0,terres australes francaises,,
Territoire britannique de l’océan Indien,Netflix,0,territoire britannique de locean indien,,
Thaïlande,Netflix,51,thailand,THA,Asia
Timor oriental,Netflix,16,timor oriental,,
Togo,Netflix,40,togo,,
Tokelau,Netflix,0,tokelau,,
Tonga,Netflix,55,tonga,,
Trinité-et-Tobago,Netflix,63,trinite-et-tobago,,
Tunisie,Netflix,30,tunisia,,
Turkménistan,Netflix,4,turkmenistan,,
Turquie,Netflix,43,turkey,TUR,Asia
Tuvalu,Netflix,100,tuvalu,,
Ukraine,Netflix,6,ukraine,UKR,Europe
Uruguay,Netflix,76,uruguay,,
Vanuatu,Netflix,49,vanuatu,,
Venezuela,Netflix,42,venezuela,,
Viêt Nam,Netflix,14,viet nam,,
Wallis-et-Futuna,Netflix,0,wallis-et-futuna,,
Yémen,Netflix,6,yemen,,
Zambie,Netflix,40,zambie,,
Zimbabwe,Netflix,51,zimbabwe,,
Égypte,Netflix,13,egypt,EGY,Africa
Émirats arabes unis,Netflix,43,united arab emirates,,
Équateur,Netflix,55,equateur,,
Érythrée,Netflix,0,erythree,,
État de la Cité du Vatican,Netflix,0,etat de la cite du vatican,,
États-Unis,Netflix,55,united states,USA,North America
Éthiopie,Netflix,17,ethiopie,,
Île Bouvet,Netflix,0,ile bouvet,,
Île Christmas,Netflix,0,ile christmas,,
Île Norfolk,Netflix,0,ile norfolk,,
Île de Man,Netflix,55,ile de man,,
Îles Caïmans,Netflix,67,iles caimans,,
Îles Cocos,Netflix,0,iles cocos,,
Îles Cook,Netflix,74,iles cook,,
Îles Féroé,Netflix,56,iles feroe,,
Îles Heard-et-MacDonald,Netflix,0,iles heard-et-macdonald,,
Îles Malouines (Îles Falkland),Netflix,70,iles malouines (iles falkland),,
Îles Mariannes du Nord,Netflix,64,iles mariannes du nord,,
Îles Marshall,Netflix,64,iles marshall,,
Îles Pitcairn,Netflix,0,iles pitcairn,,
Îles Salomon,Netflix,43,iles salomon,,
Îles Turques-et-Caïques,Netflix,73,iles turques-et-caiques,,
Îles Vierges britanniques,Netflix,55,iles vierges britanniques,,
Îles Vierges des États-Unis,Netflix,61,iles vierges des etats-unis,,
Îles mineures éloignées des États-Unis,Netflix,0,iles mineures eloignees des etats-unis,,
Îles Åland,Netflix,47,iles aland,,
Afghanistan,Tesla,5,afghanistan,AFG,Asia
Afrique du Sud,Tesla,10,south africa,ZAF,Africa
Albanie,Tesla,16,albania,ALB,Europe
Algérie,Tesla,4,algeria,DZA,Africa
Allemagne,Tesla,35,germany,DEU,Europe
Andorre,Tesla,36,andorre,,
Angola,Tesla,7,angola,,
Anguilla,Tesla,0,anguilla,,
Antarctique,Tesla,0,antarctique,,
Antigua-et-Barbuda,Tesla,14,antigua-et-barbuda,,
Arabie saoudite,Tesla,6,saudi arabia,SAU,Asia
Argentine,Tesla,8,argentina,ARG,South America
Arménie,Tesla,34,armenia,,
Aruba,Tesla,22,aruba,,
Australie,Tesla,37,australia,AUS,Oceania
Autriche,Tesla,44,austria,AUT,Europe
Azerbaïdjan,Tesla,15,azerbaidjan,,
Bahamas,Tesla,22,bahamas,,
Bahreïn,Tesla,11,bahrein,,
Bangladesh,Tesla,4,bangladesh,,
Barbade,Tesla,17,barbade,,
Belgique,Tesla,43,belgium,BEL,Europe
Belize,Tesla,13,belize,,
Bermudes,Tesla,34,bermudes,,
Bhoutan,Tesla,9,bhoutan,,
Biélorussie,Tesla,7,belarus,,
Bolivie,Tesla,6,bolivia,,
Bosnie-Herzégovine,Tesla,25,bosnie-herzegovine,,
Botswana,Tesla,10,botswana,,
Brunei,Tesla,10,brunei,,
Brésil,Tesla,7,brazil,BRA,South America
Bulgarie,Tesla,19,bulgaria,,
Burkina Faso,Tesla,7,burkina faso,,
Burundi,Tesla,8,burundi,,
Bénin,Tesla,9,benin,,
Cambodge,Tesla,9,cambodia,,
Cameroun,Tesla,7,cameroon,,
Canada,Tesla,60,canada,CAN,North America
Cap-Vert,Tesla,12,cap-vert,,
Chili,Tesla,12,chile,CHL,South America
Chine,Tesla,27,china,CHN,Asia
Chypre,Tesla,18,chypre,,
Colombie,Tesla,11,colombia,COL,South America
Comores,Tesla,6,comores,,
Congo-Brazzaville,Tesla,7,congo-brazzaville,,
Congo-Kinshasa,Tesla,7,congo-kinshasa,,
Corée du Nord,Tesla,0,coree du nord,,
Corée du Sud,Tesla,13,south korea,KOR,Asia
Costa Rica,Tesla,11,costa rica,,
Croatie,Tesla,34,croatia,,
Cuba,Tesla,8,cuba,,
Curaçao,Tesla,23,curacao,,
Côte d’Ivoire,Tesla,8,cote divoire,,
Danemark,Tesla,89,denmark,DNK,Europe
Djibouti,Tesla,15,djibouti,,
Dominique,Tesla,10,dominique,,
Espagne,Tesla,25,spain,ESP,Europe
Estonie,Tesla,34,estonia,,
Eswatini,Tesla,8,eswatini,,
Fidji,Tesla,9,fidji,,
Finlande,Tesla,47,finland,FIN,Europe
France,Tesla,28,france,FRA,Europe
Gabon,Tesla,7,gabon,,
Gambie,Tesla,6,gambie,,
Ghana,Tesla,8,ghana,,
Gibraltar,Tesla,25,gibraltar,,
Grenade,Tesla,18,grenade,,
Groenland,Tesla,21,groenland,,
Grèce,Tesla,17,greece,GRC,Europe
Guadeloupe,Tesla,11,guadeloupe,,
Guam,Tesla,17,guam,,
Guatemala,Tesla,6,guatemala,,
Guernesey,Tesla,27,guernesey,,
Guinée,Tesla,9,guinee,,
Guinée équatoriale,Tesla,10,guinee equatoriale,,
Guinée-Bissau,Tesla,3,guinee-bissau,,
Guyana,Tesla,10,guyana,,
Guyane française,Tesla,8,guyane francaise,,
Géorgie,Tesla,26,georgie,,
Géorgie du Sud-et-les Îles Sandwich du Sud,Tesla,0,georgie du sud-et-les iles sandwich du sud,,
Haïti,Tesla,5,haiti,,
Honduras,Tesla,7,honduras,,
Hong Kong,Tesla,45,hong kong,,
Hongrie,Tesla,32,hungary,,
Inde,Tesla,8,india,IND,Asia
Indonésie,Tesla,4,indonesia,IDN,Asia
Irak,Tesla,7,irak,,
Iran,Tesla,1,iran,IRN,Asia
Irlande,Tesla,30,ireland,IRL,Europe
Islande,Tesla,78,iceland,,
Israël,Tesla,23,israel,ISR,Asia
Italie,Tesla,26,italy,ITA,Europe
Jamaïque,Tesla,12,jamaique,,
Japon,Tesla,2,japan,JPN,Asia
Jersey,Tesla,32,jersey,,
Jordanie,Tesla,12,jordanie,,
Kazakhstan,Tesla,5,kazakhstan,,
Kenya,Tesla,9,kenya,KEN,Africa
Kirghizstan,Tesla,4,kirghizstan,,
Kiribati,Tesla,0,kiribati,,
Kosovo,Tesla,25,kosovo,,
Koweït,Tesla,8,koweit,,
La Réunion,Tesla,10,la reunion,,
Laos,Tesla,7,laos,,
Lesotho,Tesla,6,lesotho,,
Lettonie,Tesla,25,lettonie,,
Liban,Tesla,11,liban,,
Liberia,Tesla,7,liberia,,
Libye,Tesla,3,libye,,
Liechtenstein,Tesla,70,liechtenstein,,
Lituanie,Tesla,38,lituanie,,
Luxembourg,Tesla,54,luxembourg,,
Macao,Tesla,33,macao,,
Macédoine du Nord,Tesla,22,macedoine du nord,,
Madagascar,Tesla,9,madagascar,,
Malaisie,Tesla,21,malaysia,,
Malawi,Tesla,5,malawi,,
Maldives,Tesla,12,maldives,,
Mali,Tesla,4,mali,,
Malte,Tesla,20,malte,,
Maroc,Tesla,9,morocco,MAR,Africa
Martinique,Tesla,12,martinique,,
Maurice,Tesla,10,maurice,,
Mauritanie,Tesla,5,mauritanie,,
Mayotte,Tesla,12,mayotte,,
Mexique,Tesla,13,mexico,MEX,North America
Micronésie,Tesla,12,micronesie,,
Moldavie,Tesla,16,moldavie,,
Monaco,Tesla,0,monaco,,
Mongolie,Tesla,12,mongolie,,
Montserrat,Tesla,0,montserrat,,
Monténégro,Tesla,32,montenegro,,
Mozambique,Tesla,5,mozambique,,
Myanmar (Birmanie),Tesla,5,myanmar (birmanie),,
Namibie,Tesla,8,namibie,,
Nauru,Tesla,0,nauru,,
Nicaragua,Tesla,6,nicaragua,,
Niger,Tesla,6,niger,,
Nigeria,Tesla,10,nigeria,NGA,Africa
Niue,Tesla,0,niue,,
Norvège,Tesla,100,norway,NOR,Europe
Nouvelle-Calédonie,Tesla,8,nouvelle-caledonie,,
Nouvelle-Zélande,Tesla,31,new zealand,NZL,Oceania
Népal,Tesla,11,nepal,,
Oman,Tesla,10,oman,,
Ouganda,Tesla,6,ouganda,,
Ouzbékistan,Tesla,9,ouzbekistan,,
Pakistan,Tesla,9,pakistan,PAK,Asia
Palaos,Tesla,11,palaos,,
Palestine,Tesla,7,palestine,,
Panama,Tesla,10,panama,,
Papouasie-Nouvelle-Guinée,Tesla,6,papouasie-nouvelle-guinee,,
Paraguay,Tesla,6,paraguay,,
Pays-Bas,Tesla,45,netherlands,NLD,Europe
Pays-Bas caribéens,Tesla,26,pays-bas caribeens,,
Philippines,Tesla,8,philippines,PHL,Asia
Pologne,Tesla,18,poland,POL,Europe
Polynésie française,Tesla,18,polynesie francaise,,
Porto Rico,Tesla,28,porto rico,,
Portugal,Tesla,47,portugal,PRT,Europe
Pérou,Tesla,6,peru,PER,South America
Qatar,Tesla,19,qatar,,
Roumanie,Tesla,26,romania,ROU,Europe
Royaume-Uni,Tesla,33,united kingdom,GBR,Europe
Russie,Tesla,3,russia,RUS,Europe
Rwanda,Tesla,6,rwanda,,
République centrafricaine,Tesla,6,republique centrafricaine,,
République dominicaine,Tesla,9,republique dominicaine,,
Sahara occidental,Tesla,5,sahara occidental,,
Saint-Barthélemy,Tesla,11,saint-barthelemy,,
Saint-Christophe-et-Niévès,Tesla,13,saint-christophe-et-nieves,,
Saint-Marin,Tesla,37,saint-marin,,
Saint-Martin,Tesla,19,saint-martin,,
Saint-Martin (partie néerlandaise),Tesla,18,saint-martin (partie neerlandaise),,
Saint-Pierre-et-Miquelon,Tesla,0,saint-pierre-et-miquelon,,
Saint-Vincent-et-les Grenadines,Tesla,10,saint-vincent-et-les grenadines,,
Sainte-Hélène,Tesla,21,sainte-helene,,
Sainte-Lucie,Tesla,15,sainte-lucie,,
Salvador,Tesla,7,salvador,,
Samoa,Tesla,6,samoa,,
Samoa américaines,Tesla,0,samoa americaines,,
Sao Tomé-et-Principe,Tesla,13,sao tome-et-principe,,
Serbie,Tesla,68,serbie,,
Seychelles,Tesla,15,seychelles,,
Sierra Leone,Tesla,8,sierra leone,,
Singapour,Tesla,43,singapore,,
Slovaquie,Tesla,32,slovakia,,
Slovénie,Tesla,41,slovenia,,
Somalie,Tesla,9,somalie,,
Soudan,Tesla,2,soudan,,
Soudan du Sud,Tesla,6,soudan du sud,,
Sri Lanka,Tesla,9,sri lanka,,
Suisse,Tesla,52,switzerland,CHE,Europe
Suriname,Tesla,10,suriname,,
Suède,Tesla,55,sweden,SWE,Europe
Svalbard et Jan Mayen,Tesla,0,svalbard et jan mayen,,
Syrie,Tesla,2,syrie,,
Sénégal,Tesla,6,senegal,,
Tadjikistan,Tesla,3,tadjikistan,,
Tanzanie,Tesla,5,tanzanie,,
Taïwan,Tesla,16,taiwan,,
Tchad,Tesla,6,tchad,,
Tchéquie,Tesla,35,czechia,,
Terres australes françaises,Tesla,0,terres australes francaises,,
Territoire britannique de l’océan Indien,Tesla,0,territoire britannique de locean indien,,
Thaïlande,Tesla,11,thailand,THA,Asia
Timor oriental,Tesla,4,timor oriental,,
Togo,Tesla,12,togo,,
Tokelau,Tesla,0,tokelau,,
Tonga,Tesla,8,tonga,,
Trinité-et-Tobago,Tesla,14,trinite-et-tobago,,
Tunisie,Tesla,10,tunisia,,
Turkménistan,Tesla,7,turkmenistan,,
Turquie,Tesla,32,turkey,TUR,Asia
Tuvalu,Tesla,0,tuvalu,,
Ukraine,Tesla,13,ukraine,UKR,Europe
Uruguay,Tesla,10,uruguay,,
Vanuatu,Tesla,9,vanuatu,,
Venezuela,Tesla,6,venezuela,,
Viêt Nam,Tesla,6,viet nam,,
Wallis-et-Futuna,Tesla,0,wallis-et-futuna,,
Yémen,Tesla,2,yemen,,
Zambie,Tesla,6,zambie,,
Zimbabwe,Tesla,11,zimbabwe,,
Égypte,Tesla,4,egypt,EGY,Africa
Émirats arabes unis,Tesla,31,united arab emirates,,
Équateur,Tesla,7,equateur,,
Érythrée,Tesla,33,erythree,,
État de la Cité du Vatican,Tesla,0,etat de la cite du vatican,,
États-Unis,Tesla,60,united states,USA,North America
Éthiopie,Tesla,11,ethiopie,,
Île Bouvet,Tesla,0,ile bouvet,,
Île Christmas,Tesla,0,ile christmas,,
Île Norfolk,Tesla,0,ile norfolk,,
Île de Man,Tesla,28,ile de man,,
Îles Caïmans,Tesla,32,iles caimans,,
Îles Cocos,Tesla,0,iles cocos,,
Îles Cook,Tesla,0,iles cook,,
Îles Féroé,Tesla,42,iles feroe,,
Îles Heard-et-MacDonald,Tesla,0,iles heard-et-macdonald,,
Îles Malouines (Îles Falkland),Tesla,0,iles malouines (iles falkland),,
Îles Mariannes du Nord,Tesla,11,iles mariannes du nord,,
Îles Marshall,Tesla,0,iles marshall,,
Îles Pitcairn,Tesla,0,iles pitcairn,,
Îles Salomon,Tesla,6,iles salomon,,
Îles Turques-et-Caïques,Tesla,27,iles turques-et-caiques,,
